currency,term,ticker,field,type,mat_days ,fx_base_convention,base
EURUSD,4M,EUR4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURUSD,5M,EUR5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURUSD,6M,EUR6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURUSD,9M,EUR9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURUSD,12M,EUR12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURUSD,SP,EUR BGN Curncy,PX_ASK,spot,0,1,EUR
EURUSD,1W,USOSFR1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURUSD,2W,USOSFR2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURUSD,3W,USOSFR3Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURUSD,1M,USOSFRA BGN Curncy,PX_LAST,investment,30,1,EUR
EURUSD,2M,USOSFRB BGN Curncy,PX_LAST,investment,60,1,EUR
EURUSD,3M,USOSFRC BGN Curncy,PX_LAST,investment,90,1,EUR
EURUSD,4M,USOSFRD BGN Curncy,PX_LAST,investment,120,1,EUR
EURUSD,5M,USOSFRE BGN Curncy,PX_LAST,investment,150,1,EUR
EURUSD,6M,USOSFRF BGN Curncy,PX_LAST,investment,180,1,EUR
EURUSD,9M,USOSFRI BGN Curncy,PX_LAST,investment,270,1,EUR
EURUSD,12M,USOSFRI BGN Curncy,PX_LAST,investment,360,1,EUR
EURUSD,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURUSD,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURUSD,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURUSD,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURUSD,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURUSD,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURUSD,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURUSD,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURUSD,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURUSD,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
